Ticker,ETF_IMPLIED_LIQUIDITY,FUND_ASSETS_USD,TOTAL_NUMBER_OF_HOLDINGS_IN_PORT,FUND_EXPENSE_RATIO,AVERAGE_BID_ASK_SPREAD_%,NAV_TRACKING_ERROR,TRACKING_ERROR,FUND_BENCHMARK_PRIM,ETF_UNDL_INDEX_TICKER,REGULATORY_STRUCTURE,UK_REPORTING_STATUS,DERIVATIVES_BASED,INDEX_WEIGHTING_METHODOLOGY,FUND_INCEPT_DT,FUND_ASSET_CLASS_FOCUS,FUND_MKT_CAP_FOCUS,FUND_STRATEGY,FUND_GEO_FOCUS,GEO_FOCUS_REGION,INDUSTRY_SUBGROUP,ISSUER_INDUSTRY,ACTIVELY_MANAGED,REPLICATION_STRATEGY,LONG_COMP_NAME,FUND_CREATION_UNIT_SIZE,VOLUME_AVG_100D,PX_LAST,CRNCY,USD rate,GBp/X,Rate,PX_LAST (USD),VOLUME_AVG_100D (USD),FUND_INCEPT_DT
CSP1 LN Equity,46936260,19658.48,507,0.07,0.060264808,2.49701,5.13391,SPTR500N,SPTR500N,Open-End Investment Company,Y,N,Market Cap,15/09/2010,Equity,Large-cap,Blend,U.S.,#N/A N/A,Country Fund-U.S.,Country Fund-U.S.,N,Full,iShares Core S&P 500 UCITS ETF USD Acc,25000,56375.78,17687,GBp,1.2164,GBX,0.012164,215.144668," 12,128,948.47 ",15-Sep-10
VUSA LN Equity,228995400,17159.58,509,0.07,0.053080309,0.030387,5.11282,SPTR500N,SPTR500N,Open-End Investment Company,Y,N,Market Cap,23/05/2012,Equity,Large-cap,Blend,U.S.,#N/A N/A,Country Fund-U.S.,Country Fund-U.S.,N,Full,Vanguard S&P 500 UCITS ETF,100000,251110.5,35.535,GBP,1.2164,GBP,1.2164,43.224774," 10,854,194.61 ",23-May-12
SWDA LN Equity,14317930,8595.857,1619,0.2,0.093547002,2.5015,4.01817,NDDUWI,NDDUWI,Open-End Investment Company,Y,N,Market Cap,28/09/2009,Equity,#N/A N/A,Blend,Global,#N/A Invalid Field,Global Equity,Global Equity,N,Full,iShares Core MSCI World UCITS ETF USD Acc,200000,81088.07,3698,GBp,1.2164,GBX,0.012164,44.982472," 3,647,541.84 ",28-Sep-09
IEAC LN Equity,#N/A N/A,8115.411,1990,0.2,0.152788798,0.056884,1.81488,LECPTREU,LECPTREU,Open-End Investment Company,Y,N,Market Cap,09/03/2009,Fixed Income,#N/A N/A,Corporate,Eurozone,#N/A Invalid Field,Geo Focus-Debt,Geo Focus-Debt,N,Optimized,iShares Core EUR Corp Bond UCITS ETF EUR Dist,2500,222425.5,129.67,EUR,1.0569,EUR,1.0569,137.048223," 30,483,019.52 ",9-Mar-09
IUSA LN Equity,443360300,8008.746,508,0.4,0.049279544,2.49496,5.12411,SPTR500N,SPTR500N,Open-End Investment Company,Y,N,Market Cap,19/03/2002,Equity,Large-cap,Blend,U.S.,#N/A N/A,Country Fund-U.S.,Country Fund-U.S.,N,Full,iShares S&P 500 UCITS ETF USD Dist,200000,334129.1,1861,GBp,1.2164,GBX,0.012164,22.637204," 7,563,748.60 ",19-Mar-02
MSEU LN Equity,6874638,7606.048,#N/A N/A,0.2,0.239016399,0.236569,1.71801,SX5DU,SX5DU,FCP,Y,N,Market Cap,27/01/2015,Equity,Large-cap,Blend,Eurozone,#N/A Invalid Field,Region Fund-European,Region Fund-European,N,Full,Lyxor UCITS ETF Euro Stoxx 50 Daily Hedged C-USD,50000,10535.79,118.085,USD,1,USD,1,118.085," 1,244,118.76 ",27-Jan-15
IMEU LN Equity,10531160,6181.462,459,0.35,0.092922387,1.69692,1.75247,MSDEE15N,MSDEE15N,Open-End Investment Company,Y,N,Market Cap,06/07/2007,Equity,Large-cap,Blend,European Region,#N/A Invalid Field,Income Equity,Income Equity,N,Full,iShares MSCI Europe UCITS ETF EUR Dist,200000,196169.9,1975,GBp,1.2164,GBX,0.012164,24.0239," 4,712,766.06 ",6-Jul-07
IHYG LN Equity,#N/A N/A,6133.069,450,0.5,0.141245271,0.100705,3.16947,IBOXXMJA,IBOXXMJA,Open-End Investment Company,Y,N,Market Cap,06/09/2010,Fixed Income,#N/A N/A,Corporate,European Region,#N/A Invalid Field,Geo Focus-Debt,Geo Focus-Debt,N,Optimized,iShares EUR High Yield Corp Bond UCITS ETF EUR Dist,2500,264900.5,107.11,EUR,1.0569,EUR,1.0569,113.204559," 29,987,944.28 ",6-Sep-10
IEMB LN Equity,#N/A N/A,5944.552,344,0.45,0.170953743,0.094822,2.23124,JPEICORE,JPEICORE,Open-End Investment Company,Y,N,Market Cap,18/02/2008,Fixed Income,#N/A N/A,Government,International,#N/A Invalid Field,Emerging Market-Debt,Emerging Market-Debt,N,Optimized,iShares J.P. Morgan USD EM Bond UCITS ETF USD Dist,100000,264710.6,110.99,USD,1,USD,1,110.99," 29,380,229.49 ",18-Feb-08
IWRD LN Equity,25002930,5812.687,1595,0.5,0.100026661,2.46921,4.06015,NDDUWI,NDDUWI,Open-End Investment Company,Y,N,Market Cap,31/10/2005,Equity,Large-cap,Blend,Global,#N/A Invalid Field,Global Equity,Global Equity,N,Full,iShares MSCI World UCITS ETF USD Dist,200000,207950.5,3109,GBp,1.2164,GBX,0.012164,37.817876," 7,864,246.22 ",31-Oct-05
ISF LN Equity,109734100,5628.767,102,0.07,0.035433021,0.044706,1.82546,TUKXG,TUKXG,Open-End Investment Company,Y,N,Market Cap,27/04/2000,Equity,Large-cap,Blend,U.K.,#N/A N/A,Country Fund-U.K.,Country Fund-U.K.,N,Full,iShares Core FTSE 100 UCITS ETF GBP Dist,200000,5472572,714,GBp,1.2164,GBX,0.012164,8.685096," 47,529,813.19 ",27-Apr-00
PHAU LN Equity,#N/A N/A,5433.636,#N/A N/A,0.39,0.059050309,0.002608,4.2867,GOLDLNPM,GOLDLNPM,Exchange-Traded Commodity,Y,N,Single Asset,24/04/2007,Commodity,#N/A N/A,Precious Metals,Global,#N/A Invalid Field,Commodity,Commodity,N,Full,ETFS Physical Gold,#N/A N/A,253818.9,113.835,USD,1,USD,1,113.835," 28,893,474.48 ",24-Apr-07
LQDE LN Equity,#N/A N/A,4972.986,1573,0.2,0.293834571,0.105279,2.22521,IBOXIG,IBOXIG,Open-End Investment Company,Y,N,Market Cap,16/05/2003,Fixed Income,#N/A N/A,Corporate,U.S.,#N/A N/A,Geo Focus-Debt,Geo Focus-Debt,N,Optimized,iShares USD Corp Bond UCITS ETF USD Dist,100000,278653.8,113.85,USD,1,USD,1,113.85," 31,724,735.13 ",16-May-03
IEEM LN Equity,6211363,4395.602,852,0.75,0.103036145,2.48615,5.3184,NDUEEGF,NDUEEGF,Open-End Investment Company,Y,N,Market Cap,21/11/2005,Equity,Broad Market,Blend,International,#N/A Invalid Field,Emerging Market-Equity,Emerging Market-Equity,N,Optimized,iShares MSCI EM UCITS ETF USD Dist,200000,475283.9,2804.75,GBp,1.2164,GBX,0.012164,34.116979," 16,215,250.84 ",21-Nov-05
EMIM LN Equity,4196336,4054.956,1869,0.25,0.117233347,2.48813,5.42617,MIMUEMRN,MIMUEMRN,Open-End Investment Company,Y,N,Market Cap,02/06/2014,Equity,#N/A N/A,Blend,Global,#N/A Invalid Field,Unclassified,Unclassified,N,Optimized,iShares Core MSCI EM IMI UCITS ETF USD Acc,400000,233808.9,1852.25,GBp,1.2164,GBX,0.012164,22.530769," 5,267,894.32 ",2-Jun-14
IHYU LN Equity,#N/A N/A,3801.46,1036,0.5,0.189626718,4.45415,6.12535,IBXXHYCT,IBXXHYCT,Open-End Investment Company,Y,N,Market Cap,14/09/2011,Fixed Income,#N/A N/A,Corporate,U.S.,#N/A N/A,Geo Focus-Debt,Geo Focus-Debt,N,Optimized,iShares USD High Yield Corp Bond UCITS ETF USD Dist,2500,264406.8,104.83,USD,1,USD,1,104.83," 27,717,764.84 ",14-Sep-11
GBS LN Equity,#N/A N/A,3605.812,#N/A N/A,0.4,0.056168311,0.002802,3.83438,GOLDLNPM,GOLDLNPM,Exchange-Traded Commodity,Y,N,Single Asset,31/03/2004,Commodity,#N/A N/A,Precious Metals,Global,#N/A Invalid Field,Commodity,Commodity,N,Full,Gold Bullion Securities Ltd,#N/A N/A,153857.2,112.26,USD,1,USD,1,112.26," 17,272,009.27 ",31-Mar-04
IEML LN Equity,#N/A N/A,3520.301,226,0.5,0.370019967,0.175388,3.81729,BLCNTRUU,BLCNTRUU,Open-End Investment Company,Y,N,Market Cap,21/06/2011,Fixed Income,#N/A N/A,Government,International,#N/A Invalid Field,Emerging Market-Debt,Emerging Market-Debt,N,Optimized,iShares EM Local Govt Bond UCITS ETF USD Dist,2500,249035.1,62.01,USD,1,USD,1,62.01," 15,442,666.55 ",21-Jun-11
ITPS LN Equity,#N/A N/A,3431.365,37,0.25,0.172907838,2.58932,2.80836,BCIT1T,BCIT1T,Open-End Investment Company,Y,N,Market Cap,30/10/2006,Fixed Income,#N/A N/A,Inflation Protected,U.S.,#N/A N/A,Geo Focus-Debt,Geo Focus-Debt,N,Optimized,iShares USD TIPS UCITS ETF USD Acc,20000,23128.2,164.5,GBP,1.2164,GBP,1.2164,200.0978," 4,627,901.94 ",30-Oct-06
