Date,USD Curncy,GBPUSD Curncy,EURUSD Curncy,JPYUSD Curncy,CHFUSD Curncy,CADUSD Curncy,AUDUSD Curncy,NZDUSD Curncy,HKDUSD Curncy,NOKUSD Curncy,SEKUSD Curncy
1990-01-02,1,1.6099999999999999,1.2146,0.006838,0.6342,0.8616,0.7865,0.5962,0.128,0.1507,0.160514
1990-01-03,1,1.6125,1.2096,0.006863,0.6335,0.8624,0.7837,0.5958,0.128,0.1502,0.15949
1990-01-04,1,1.6355,1.2287,0.006975,0.6485,0.8613,0.7894,0.6002,0.12797,0.1522,0.161917
1990-01-05,1,1.637,1.2358,0.006953,0.6506,0.862,0.785,0.5995,0.12795,0.1527,0.162022
1990-01-06,,,,,,,,,,,
1990-01-07,,,,,,,,,,,
1990-01-08,1,1.653,1.2452,0.00694,0.6563,0.8624,0.7858,0.598,0.12797,0.1537,0.162866
1990-01-09,1,1.658,1.2356,0.006887,0.6549,0.8613,0.7874,0.6057,0.128,0.1533,0.162575
1990-01-10,1,1.6625,1.2361,0.006885,0.6612,0.8633,0.7897,0.609,0.128,0.1536,0.162813
1990-01-11,1,1.661,1.2367,0.006878,0.6596,0.8646,0.7929,0.6101,0.12805,0.1535,0.162655
1990-01-12,1,1.661,1.2409,0.006878,0.6691,0.8649,0.7932,0.613,0.12803,0.154,0.163239
1990-01-13,,,,,,,,,,,
1990-01-14,,,,,,,,,,,
1990-01-15,1,1.667,1.2317,0.006875,0.6609,0.8592,0.7937,0.6107,0.12804,0.1536,0.163066
1990-01-16,1,1.658,1.2271,0.006874,0.6594,0.8591,0.7925,0.6111,0.12804,0.1531,0.162127
1990-01-17,1,1.6533,1.2343,0.006873,0.6637,0.859,0.795,0.6135,0.12804,0.1532,0.162232
1990-01-18,1,1.6433,1.221,0.006844,0.6585,0.8532,0.7962,0.6155,0.12802,0.1521,0.161225
1990-01-19,1,1.6475,1.2182,0.006866,0.6603,0.845,0.7946,0.613,0.12803,0.1519,0.160836
1990-01-20,,,,,,,,,,,
1990-01-21,,,,,,,,,,,
1990-01-22,1,1.6376,1.2118,0.006829,0.6527,0.8476,0.796,0.6137,0.12804,0.1511,0.159795
1990-01-23,1,1.6535,1.2253,0.006845,0.6631,0.8493,0.7767,0.6072,0.12803,0.1525,0.161147
1990-01-24,1,1.6529,1.2373,0.006881,0.6682,0.843,0.7658,0.597,0.12803,0.1533,0.162206
1990-01-25,1,1.6597,1.2312,0.006924,0.672,0.8421,0.7613,0.5972,0.12799,0.153,0.162075
1990-01-26,1,1.6632,1.2334,0.006976,0.6676,0.8373,0.7712,0.5945,0.12799,0.1529,0.161812
1990-01-27,,,,,,,,,,,
1990-01-28,,,,,,,,,,,
