Number,Index,Best Tracking ETF,Num tracking ETF,corr,Tracking error Mean,Tracking error Variance
0,SPTR500N,IUSA LN Equity,7,0.664150204,0.000765211,0.000212201
1,NDDUWI,SWDA LN Equity,2,0.743655637,0.000768805,0.000168119
2,LECPTREU,IEAC LN Equity,1,0.230425376,-5.01E-05,0.000147595
3,SX5DU,MSEU LN Equity,1,0.863041591,0.001308077,0.000231128
4,MSDEE15N,IMEU LN Equity,1,0.849738141,-7.40E-05,0.000149267
5,IBOXXMJA,IHYG LN Equity,1,0.398112143,-0.0001293,0.000153766
6,JPEICORE,IEMB LN Equity,1,0.541582199,0.000659991,0.000151847
7,TUKXG,ISF LN Equity,2,0.998305048,-5.76E-05,1.39E-06
8,GOLDLNPM,PHAU LN Equity,5,0.85957556,0.000674088,0.000171889
9,IBOXIG,LQDE LN Equity,1,0.509585124,0.00076065,0.000157068
10,NDUEEGF,IEEM LN Equity,1,0.862501397,0.000656707,0.000166665
11,MIMUEMRN,EMIM LN Equity,1,0.795999199,0.001669759,0.000208459
12,IBXXHYCT,IHYU LN Equity,1,0.486958082,0.000647187,0.000160438
13,BLCNTRUU,IEML LN Equity,1,0.679547822,0.00067089,0.00016297
14,BCIT1T,ITPS LN Equity,1,0.50984114,0.000766342,0.000168053
15,UKXNUK,VUKE LN Equity,1,0.993208024,5.44E-05,5.14E-06
16,TENGDNU,IWDP LN Equity,1,0.745417791,0.000765576,0.000186088
17,SPHYDAN,UDVD LN Equity,1,0.568359479,0.000715785,0.00023126
18,MXJPHEUR,IJPE LN Equity,1,0.819033928,-0.000236886,0.000345026
19,LECFTREU,IEXF LN Equity,1,0.221713868,-7.45E-05,0.000149752
20,NDDUNA,INAA LN Equity,1,0.666402039,0.000770783,0.000212066
21,NDDUJN,IJPN LN Equity,1,0.734283249,0.000663879,0.000277582
22,SPXUXEN,IUSE LN Equity,1,0.689460811,-9.04E-05,0.000217862
23,IBXXUSE1,ERNE LN Equity,1,-0.218145253,0.000129628,0.000197031
24,IDCOT7TR,IBTM LN Equity,1,0.598798212,0.000756488,0.000163696
25,LBEATREU,IEAG LN Equity,1,0.327208413,-9.46E-05,0.000149039
26,IBXXGLAT,SLXX LN Equity,1,0.974218675,-3.20E-05,4.45E-06
27,FTFIBGT,IGLT LN Equity,2,0.993306823,-3.42E-05,1.12E-06
28,BCEX2T,IBGX LN Equity,1,0.265066571,-0.000110716,0.000152432
29,MSDE15XN,IEUX LN Equity,1,0.854677818,-4.45E-05,0.000151402
30,MIMUJPNN,SJPA LN Equity,1,0.717060852,0.000719623,0.000282803
31,BECLTRUU,EMDD LN Equity,1,0.597168151,0.000556707,0.000164795
32,IDCOT1TR,IBTS LN Equity,1,0.126971659,0.000773345,0.0001611
33,TENDPNE,IPRP LN Equity,1,0.855348283,8.12E-05,0.000158006
34,NDEUCFEX,IFFF LN Equity,1,0.816892124,0.000614502,0.000199821
35,LGCPTREH,CRPH LN Equity,1,0.425953563,6.59E-05,0.000197796
36,BCEX6T,IBGS LN Equity,1,0.233844711,-7.79E-05,0.000152514
37,IBXXGBP1,IS15 LN Equity,1,0.85923233,1.09E-05,1.27E-06
38,M00IWO$O,MVOL LN Equity,1,0.561928426,0.000954623,0.000210161
39,FTRFBGL,IGLS LN Equity,2,0.976138366,-3.34E-05,1.73E-07
40,LBUSTRUU,IUAG LN Equity,1,0.3960737,0.000624929,0.000151707
41,IBXXSIG1,SDIG LN Equity,1,0.188353662,0.001158289,0.000179244
42,JPEIHDEU,EMBE LN Equity,1,0.522142985,-3.15E-06,0.000188126
43,BEIG1T,IBCI LN Equity,1,0.481721464,-0.000106802,0.000154704
44,BRDHTREU,IRCP LN Equity,1,0.020720735,0.000228882,0.000170536
45,SP5MVN,SPMV LN Equity,1,0.564712517,0.000959644,0.000221613
46,BCIU1T,INXG LN Equity,1,0.992400685,-5.30E-05,3.43E-06
47,FTPTT250,MIDD LN Equity,1,0.992257904,-9.28E-05,6.47E-06
48,TAWNT01U,VWRD LN Equity,1,0.714432909,0.00078686,0.000170623
49,M1WOEV,IWVL LN Equity,1,0.749563453,0.001615248,0.000224005
50,LEATTREU,IEGA LN Equity,1,0.42375189,-9.38E-05,0.000152644
51,SGQINRGH,SGQX LN Equity,1,0.88981223,-0.000377956,4.55E-05
52,SPTRSMCN,IDP6 LN Equity,1,0.726655355,0.000734256,0.000271128
53,MAEUVOE,MVEU LN Equity,1,0.722071505,0.000258942,0.000178642
54,HUCD,STYC LN Equity,2,0.317427694,0.001776407,0.000237827
55,TFUDPG,IUKD LN Equity,1,0.993788352,-9.62E-05,5.69E-06
56,TAWALENU,VDEM LN Equity,1,0.845716647,0.000730264,0.000166853
57,JN4NDUH,JPXU LN Equity,1,0.808630102,0.001264651,0.000372785
58,TELUKNG,IUKP LN Equity,1,0.990917815,-5.29E-05,1.18E-05
59,TWIJPNTU,VDJP LN Equity,1,0.734280533,0.000623592,0.000302331
