ETFs,Mean,Std,Kurtosis,Skewness
CSP1 LN Equity,0.000345954,5.19E-05,1.298796313,-0.602138825
VUSA LN Equity,0.00052927,0.001639956,24.02750216,3.712912142
SWDA LN Equity,0.000653022,0.002763315,21.02807062,0.292956988
IEAC LN Equity,0.000407389,0.004572712,62.10411795,-4.728513983
IUSA LN Equity,0.000619401,0.001553739,8.412907178,2.531276723
MSEU LN Equity,0.004860076,0.006397248,0.255825904,0.926291425
IMEU LN Equity,0.001178438,0.004305788,100.8975233,-5.231641183
IHYG LN Equity,0.000312955,0.010434754,33.30188499,-1.17745522
IEMB LN Equity,-2.43E-05,0.010756314,60.35979999,2.910075909
IWRD LN Equity,0.00084138,0.001001358,34.76671748,4.245661971
ISF LN Equity,0.000182677,0.006533391,42.81353803,-1.661209892
PHAU LN Equity,0.001346602,0.008874954,71.8057443,7.457270692
LQDE LN Equity,0.001901999,0.011533026,49.81238741,4.119714154
IEEM LN Equity,0.000690211,0.004937889,29.24882416,0.928496142
EMIM LN Equity,0.000457527,0.004542955,4.988998804,0.859310025
IHYU LN Equity,-0.000757718,0.012761774,12.47618363,-1.832276732
GBS LN Equity,0.001076945,0.007046905,48.78898359,3.826727604
IEML LN Equity,0.002206732,0.018006608,42.26459166,5.527487392
ITPS LN Equity,0.002719958,0.007433441,64.15129626,6.752875264
SGLD LN Equity,0.000115649,0.005899541,156.9845572,-10.65681677
VUKE LN Equity,0.000942786,0.00921765,49.53456238,3.825580461
SPXS LN Equity,0.000384356,0.001784251,19.64235072,2.597131859
LSPU LN Equity,0.001843072,0.002959732,9.996127347,3.038412205
IWDP LN Equity,0.000151413,0.010611872,1.196187302,-0.83346097
UDVD LN Equity,0.003812372,0.009303385,29.40337953,3.172935052
IJPE LN Equity,0.00128321,0.005459651,114.9895016,-5.629833944
HSPX LN Equity,0.000733895,0.001341005,48.49479704,4.421559371
IEXF LN Equity,0.001515459,0.005594127,-0.179199063,0.554593138
IGLN LN Equity,0.00291631,0.019433577,52.7355526,6.936810415
INAA LN Equity,0.000991727,0.001056331,6.413040963,1.464195898
IJPN LN Equity,0.000809231,0.00342106,2.938200926,-0.322441043
IUSE LN Equity,0.000174316,0.004512843,121.2075705,-1.088020117
ERNE LN Equity,0.001020715,0.003174803,26.69859062,-3.257512561
IBTM LN Equity,0.001201644,0.003530502,3.3419429,-0.373634078
IEAG LN Equity,0.001785336,0.010765058,118.8817467,10.40697979
SLXX LN Equity,0.002704063,0.008814331,7.889636938,1.382286972
MINT LN Equity,-0.001300317,0.00951282,30.50621217,-5.543965538
IGLT LN Equity,0.002141881,0.004690261,34.88693962,-0.804842253
IBGX LN Equity,0.0007245,0.001746443,5.957167415,1.242960872
IEUX LN Equity,0.000430384,0.006762922,67.93945856,-6.888220202
SJPA LN Equity,0.001042913,0.002266334,3.962952949,1.131419819
EMDD LN Equity,0.004200688,0.014957193,1.654342854,-0.060908718
IBTS LN Equity,0.000822801,0.008037473,224.996242,14.34547294
SPY5 LN Equity,0.002165341,0.007908886,31.44296512,5.194796533
IPRP LN Equity,0.002041124,0.003813849,24.30713967,2.552285681
IFFF LN Equity,0.002204952,0.005820895,66.83793741,-6.019624922
CRPH LN Equity,0.003005657,0.009481461,68.6612759,6.570710021
IBGS LN Equity,0.000766419,0.001322581,11.17555027,2.435706102
IS15 LN Equity,0.001817526,0.006964381,30.10141805,-3.292846074
MVOL LN Equity,0.001955089,0.005530106,60.74631786,2.031098339
IGLS LN Equity,0.000107231,0.010019755,452.3806809,-20.34059222
IUAG LN Equity,0.001500028,0.004875631,124.013604,-9.84219664
SDIG LN Equity,0.000438873,0.003622633,12.6724879,-1.122087602
EMBE LN Equity,0.00342969,0.006806485,19.21354978,3.277979363
IBCI LN Equity,0.001391002,0.002256083,12.67882393,2.617283319
IRCP LN Equity,0.001981033,0.005592782,104.0528869,-8.92117196
SPMV LN Equity,0.002221537,0.004793065,40.03263205,4.465815864
INXG LN Equity,0.00233229,0.006331243,1.538745607,0.238341497
MIDD LN Equity,0.000942064,0.011220734,134.3634615,7.829420261
VWRD LN Equity,0.001028912,0.011534818,4.288040071,1.000855433
IWVL LN Equity,0.001905766,0.012196015,-0.110549301,-0.141337485
IEGA LN Equity,0.000993754,0.002101371,119.3060586,9.315660365
SGQX LN Equity,0.010406521,0.004160085,0.705527079,0.982253896
IDP6 LN Equity,0.00554957,0.034706486,142.2693845,9.230840076
MVEU LN Equity,0.004290199,0.006621065,30.85426402,3.94196123
STHY LN Equity,0.002798192,0.005224397,1.48537388,0.598671044
STHE LN Equity,0.002864235,0.005579653,59.4580302,-0.886986582
STYC LN Equity,0.002251859,0.002769871,-0.914413567,0.018732607
IUKD LN Equity,0.002861808,0.011979272,58.68807791,6.748356157
VDEM LN Equity,0.00075604,0.005705079,164.5216193,9.753448283
JPXU LN Equity,0.002342664,0.007139623,2.649383942,0.690585814
IUKP LN Equity,-0.000426371,0.014523613,1.708138315,-0.428026913
SGLO LN Equity,0.001331494,0.001960468,2.072592278,0.777082104
VDJP LN Equity,0.002846898,0.006116993,11.90763871,-0.297933097
L100 LN Equity,0.000902609,0.003240203,1.640839299,-0.055470217
PHAG LN Equity,0.003106222,0.019599818,64.29618232,7.497741136
CORP LN Equity,-9.25E-05,0.010694095,14.66502406,1.157964699
CRUD LN Equity,0.002657885,0.012566746,36.64637556,5.571479912
IDVY LN Equity,0.005087725,0.024535743,81.16759061,8.904068485
EUN LN Equity,0.001100744,0.002526865,1.707453929,0.119031683
XLFS LN Equity,0.003519732,0.016187733,112.5524597,9.988093657
SPY4 LN Equity,0.005497939,0.019610541,75.64129808,7.896177768
IWDE LN Equity,0.005226117,0.028670526,57.03270534,7.32415313
IITB LN Equity,0.000754368,0.004771091,96.16380778,-8.390680694
IUSP LN Equity,0.002258633,0.005915276,5.606181884,0.706585302
SDHY LN Equity,0.003216477,0.014678007,2.968610767,0.308119284
IUFS LN Equity,0.001287447,0.009773948,96.94918655,7.199419142
HYLD LN Equity,0.003205514,0.015634489,54.54527626,6.295659746
XLKS LN Equity,0.001051562,0.012721689,9.386359559,-1.267071655
SMTC LN Equity,-0.001128348,2.86E-05,5.239990569,-1.927346551
IEBB LN Equity,0.002825861,0.002416169,1.06993088,0.524979884
IMIB LN Equity,0.001526665,0.003148181,1.255081812,0.636226023
FXC LN Equity,0.005288906,0.00786212,0.211836912,0.725023065
EMMV LN Equity,-0.000829842,0.0125698,11.11327667,1.168094322
GLTS LN Equity,0.002004041,0.003383257,18.66498564,3.85018245
IJPD LN Equity,0.001266242,0.004036435,67.17240241,4.470512316
XGLD LN Equity,0.001561562,0.003551385,37.31968952,4.414765434
COMF LN Equity,0.004474386,0.006582468,1.709562861,0.669724087
SBIO LN Equity,-0.000249737,0.027389011,3.520807029,0.304330064
IEVL LN Equity,0.002012076,0.007094912,66.15427133,4.163261371
LTAM LN Equity,0.00076027,0.010656481,15.78798052,1.745031807
HDLV LN Equity,0.001170274,0.004536038,1.276722727,0.713467468
MLPD LN Equity,0.006181757,0.020678135,8.268337406,0.407260406
MLPS LN Equity,0.004587041,0.012263289,3.598123902,0.353742031
ISXF LN Equity,0.004410506,0.010132861,20.31483835,3.739492798
IKOR LN Equity,0.002608296,0.009662381,0.500148764,-0.487195707
R2US LN Equity,0.005243395,0.00839946,3.578894724,1.8259026
SGBS LN Equity,0.000809669,0.002728127,35.99852341,4.481412341
IAUP LN Equity,0.012086248,0.025354397,17.83337303,3.038167009
AIGC LN Equity,0.004765555,0.006873747,-0.017812135,0.073863165
